Sport,Year,Brand,Set,CardNumber,Player,Team,Parallel_Attributes,Serial,GradingCompany,Grade,CertNumber,IsAuto,Quantity,ListPrice,PricingBasis,CompSource,ConditionNotes,SourcePhoto,ImageURL_pro,MarketplaceStatus
,2023,Panini,Crown Royale Kaboom,4,Ja Morant,Grizzlies,Gold,06/10,PSA,8 NM-MT,95147126,,1,2000.00,comp,Goldin / eBay,Kaboom Gold /10,IMG_4827,,UNLISTED
,1976,Topps,,148,Walter Payton,Bears,,,SGC,8 NM/MT,8203701-020,,1,1500.00,comp,eBay / Steel City / SCI,ROOKIE - key card,IMG_4824,,UNLISTED
,,Donruss,Co-Signers Autographs Printing Plate,,Joe Namath / John Elway,,Cyan Printing Plate,1/1,,,,Y,1,1000.00,comp,n/a - true 1/1,"Dual HOF QB on-card auto, true 1/1 cyan printing plate",IMG_4826,,UNLISTED
,,Topps,Transcendent - Double (Runners Advance 2 Bases),,Cam Smith,Astros,,1/1,,,,Y,1,800.00,comp,n/a - true 1/1,"RC on-card auto, true 1/1, Topps Transcendent (ultra-premium)",IMG_4830,,UNLISTED
,2009-10,Panini,Studio,,Stephen Curry,Warriors,,,,,,Y,1,400.00,comp,Pristine Marketplace / eBay,RC auto; coin authenticator,IMG_4827,,UNLISTED
,2019,Topps,Chrome Update,FT,Fernando Tatis Jr.,Padres,Rookie Debut Auto,,PSA,10 GEM MT,46084057,Y,1,383.00,comp,Sports Card Investor / Card Ladder,RC auto,IMG_4818,,UNLISTED
,,Donruss,Downtown,,Puka Nacua,Rams,Downtown SSP,,,,,,1,320.00,comp,Sports Card Investor,case-hit insert,IMG_4824,,UNLISTED
,,Panini,Quad Autographs,,Esiason/Moon/Simms/Montana,Multi,,10/10,,,,Y,1,240.00,sticker,,4x HOF QB auto /10,IMG_4826,,UNLISTED
,,Panini,NBA Hoops,,Ja Morant,Grizzlies,,,PSA/DNA,Auth Auto,85028881,Y,1,200.00,sticker,,RC auto,IMG_4827,,UNLISTED
,,Panini,Immaculate Collection,,Paul Skenes,Pirates,,65/99,,,,,1,175.00,sticker,,jersey relic,IMG_4828,,UNLISTED
,2023-24,Panini,Phoenix Thrillers,2,Victor Wembanyama,Spurs,Silver,,BGS,8.5 NM-MT+,0018110860,,1,170.00,comp,eBay,RC,IMG_4827,,UNLISTED
,2017,Sage,Hit Premier Draft,5,Patrick Mahomes II,Chiefs,,,PSA,10 GEM MT,66845496,,1,150.00,est,,Rookie (college),IMG_4822,,UNLISTED
,1969,Topps,,51,Gale Sayers,Bears,,,PSA,8 NM-MT (MC),94307073,,1,140.00,comp,PSA APR / eBay,,IMG_4826,,UNLISTED
,,Panini,Immaculate (Batting Gloves),,Noah Schultz,White Sox,Nike swoosh patch,2/5,,,,,1,130.00,sticker,,prospect,IMG_4828,,UNLISTED
