card_id,player,year,brand,set,parallel,serial,grade,current_value,current_basis,CARDLADDER_LAST_SOLD,SALE_DATE
IMG_4827:5,Ja Morant,2023,Panini,Crown Royale Kaboom,Gold,06/10,PSA 8 NM-MT,4200,comp,,
IMG_4824:6,Walter Payton,1976,Topps,,,,SGC 8 NM/MT,1500,comp,,
IMG_4826:4,Joe Namath / John Elway,,Donruss,Co-Signers Autographs Printing Plate,Cyan Printing Plate,1/1,,1000,comp,,
IMG_4830:4,Cam Smith,,Topps,Transcendent - Double (Runners Advance 2 Bases),,1/1,,800,comp,,
IMG_4827:1,Stephen Curry,2009-10,Panini,Studio,,,,400,comp,,
IMG_4818:2,Fernando Tatis Jr.,2019,Topps,Chrome Update,Rookie Debut Auto,,PSA 10 GEM MT,383,comp,,
IMG_4826:6,Brock Purdy,,Panini,Rookies & Stars Airborne Signatures,,/99,,375,comp,,
IMG_4824:1,Puka Nacua,,Donruss,Downtown,Downtown SSP,,,320,comp,,
IMG_4826:3,Esiason/Moon/Simms/Montana,,Panini,Quad Autographs,,10/10,,240,sticker,,
IMG_4827:6,Ja Morant,,Panini,NBA Hoops,,,PSA/DNA Auth Auto,200,sticker,,
IMG_4828:4,Paul Skenes,,Panini,Immaculate Collection,,65/99,,175,sticker,,
IMG_4827:4,Victor Wembanyama,2023-24,Panini,Phoenix Thrillers,Silver,,BGS 8.5 NM-MT+,170,comp,,
IMG_4822:1,Patrick Mahomes II,2017,Sage,Hit Premier Draft,,,PSA 10 GEM MT,150,est,,
IMG_4826:5,Gale Sayers,1969,Topps,,,,PSA 8 NM-MT (MC),140,comp,,
IMG_4828:5,Noah Schultz,,Panini,Immaculate (Batting Gloves),Nike swoosh patch,2/5,,130,sticker,,
IMG_4826:2,Christian McCaffrey,,Donruss,Dominators,Printing Plate Cyan,1/1,,125,sticker,,
IMG_4817:5,Pete Rose,2023,Leaf,Metal Baseball Pre-Production Proof Prismatic Sky,Prismatic Sky,1/1,,120,est,,
IMG_4818:3,Johnny Bench,1968,Topps,Rookie Stars,,,SGC 1 PR,100,comp,,
IMG_4828:6,Marek Houston,,Panini,Immaculate Brilliance,,07/10,,100,sticker,,
IMG_4830:1,James Wood,,Panini,Immaculate Collection,,68/99,,100,sticker,,
IMG_4814:1,Ja Morant,2019-20,Panini,Prizm,Fast Break Prizm,,PSA 10 GEM MT,95,comp,,
IMG_4825:7,Brock Bowers,,Topps,,,,,95,sticker,,
IMG_4901:3,Mike Trout,2014,Bowman,Platinum ('89 Bowman is Back),Silver Diamond Refractor,,SGC 9 MT,95,comp,,
IMG_4819:3,Cal Ripken Jr.,,Panini,Noir Shadow Signatures,,52/99,,81,sticker,,
IMG_4825:5,Mike Alstott,,Panini,Prizm,,,,80,sticker,,
IMG_4816:1,Jamal Murray,,Panini,Spectra Spectacular Swatches,,,,76,sticker,,
IMG_4814:3,Michael Jordan,1998,Upper Deck,,,,,75,sticker,,
IMG_4818:4,Michael J. Doolan,1911,T205,Gold Border,,,PSA 1 PR,75,comp,,
IMG_4819:6,Eli Willits,,Panini,Prospect,,94/99,,75,sticker,,
IMG_4820:2,Kira Lewis Jr.,,Panini,National Treasures,,10/25,,75,sticker,,
IMG_4822:6,Travis Hunter,,Donruss,Phenom,,18/99,,75,sticker,,
IMG_4819:5,Travis Bazzana,,Bowman,Chrome Prospects,Orange,16/25,,70,sticker,,
IMG_4814:2,Jalen Green,,Panini,Flux,,,PSA/DNA Auto 10 GEM MT,65,sticker,,
IMG_4815:1,Franz Wagner,,Panini/Donruss,Shock Wave,,,,60,sticker,,
IMG_4816:4,Victor Wembanyama,2023-24,Panini,Prizm Monopoly,Silver Prizm,,,60,sticker,,
IMG_4822:4,Fernando Mendoza,2025,Bowman,U Now Black Box,,,PSA 10 GEM MT,60,sticker,,
IMG_4851:6,Kevin Durant,2006,Topps,McDonald's All American,,,PSA 9 MINT,60,est,,
IMG_4851:8,Kevin Durant,2006,Topps,McDonald's All American,,,PSA 9 MINT,60,est,,
IMG_4901:2,Aaron Judge,2024,Topps,Cosmic Chrome Astrologically Aligned,,,SGC 9 MT,60,comp,,
IMG_4819:2,Wei-En Lin,,Panini,Immaculate Collection,,23/99,,52,sticker,,
IMG_4817:1,Ron Santo,1961,Topps,,All-Star Rookie,,PSA 4 VG-EX,50,comp,,
IMG_4817:3,Konnor Griffin,,Panini,Immaculate Collection,,69/99,,50,sticker,,
IMG_4819:4,Rickey Henderson,,Panini,Flawless Legendary Memorabilia,,09/20,,50,sticker,,
IMG_4824:5,Colston Loveland,2025,Topps,Chrome (Round 1 Pick 10),,,,50,sticker,,
IMG_4834:1,Scott Rolen,2024,Topps,Archives Signature Series (2009 A&G buyback),,07/10,,50,est,,
IMG_4865:4,LaNorris Sellers,2025,Wild Card,Psyched Alumination,,1/3,,50,est,,
IMG_4874:2,Patrick Mahomes,,Wild Card,Card Club,,4/4,,50,est,,
IMG_4906:5,Drew Allar,2025,Wild Card,Alumination,,2/5,,50,est,,
IMG_4842:5,Tetairoa McMillan,2025,Topps,Chrome,,,,45,sticker,,
IMG_4924:2,Tim Duncan,1997-98,Topps,Chrome,,,,45,comp,,
IMG_4839:5,Elly De La Cruz,,Topps,Game Day Drip,,,,44,sticker,,
IMG_4836:4,Kevin Alcantara,,Topps,Inception,,25/49,,41,sticker,,
IMG_4840:2,Davante Adams,,Panini,Mosaic,Gold,,,40,sticker,,
IMG_4842:2,Ladd McConkey,,Topps,Fire (dual jersey auto),,,,40,sticker,,
IMG_4851:2,Jayson Tatum,2025,Topps,Chrome (Go Time Refractor),Go Time Refractor,,PSA 9 MINT,40,comp,,
IMG_4857:4,Early Wynn,1955,Bowman,,,,SGC 4.5 VG/EX+,38,sticker,,
IMG_4837:6,Jalen Duren,,Panini,Mosaic,Disco,,,36,sticker,,
IMG_4814:6,Tony Parker,,Topps,,,20/25,,35,est,,
IMG_4827:2,Tim Duncan,,Panini,Impeccable Premium Silver,1oz Silver,16/25,,35,est,,
IMG_4833:3,Ashton Jeanty,2025,Panini,Rookies & Stars Draft Class,Green,05/25,,35,est,,
IMG_4838:2,Donovan Mitchell,,Donruss,Optic Hyper,Hyper,,,35,sticker,,
