rank,value_usd,pricing_basis,comp_source,player,year,brand,set,parallel,serial,graded,cert,auto,team,card_no,sticker_price,photo,slot,needs_more,comp_note,notes
1,2000.00,comp,Goldin / eBay,Ja Morant,2023,Panini,Crown Royale Kaboom,Gold,06/10,PSA 8 NM-MT,95147126,,Grizzlies,4,,IMG_4827,5,,"Base Kaboom sells $435-1000; Gold /10 is top parallel, big premium. Goldin has a sold 04/10 PSA 8 - confirm exact figure. Est $1500-2500.",Kaboom Gold /10
2,1500.00,comp,eBay / Steel City / SCI,Walter Payton,1976,Topps,,,,SGC 8 NM/MT,8203701-020,,Bears,148,,IMG_4824,6,,"CORRECTED UP: PSA 8.5 sold ~$3,600; SGC 8 dealer-listed ~$2,499. SGC 8 realistic sold ~$1,300-1,900.",ROOKIE - key card
3,1000.00,comp,n/a - true 1/1,Joe Namath / John Elway,,Donruss,Co-Signers Autographs Printing Plate,Cyan Printing Plate,1/1,raw,,Y,,,,IMG_4826,4,,Dual HOF QB (Namath/Elway) auto 1/1 cyan printing plate. No direct comp; auction-dependent. Could reach 4 figures; 1/1 plates can also underperform. Test at auction.,"Dual HOF QB on-card auto, true 1/1 cyan printing plate"
4,800.00,comp,n/a - true 1/1,Cam Smith,,Topps,Transcendent - Double (Runners Advance 2 Bases),,1/1,raw,,Y,Astros,,,IMG_4830,4,,Cam Smith Topps Transcendent 'Double' RC on-card auto 1/1. Ultra-premium product; auction-dependent. Rookie value speculative - could exceed if he breaks out.,"RC on-card auto, true 1/1, Topps Transcendent (ultra-premium)"
5,400.00,comp,Pristine Marketplace / eBay,Stephen Curry,2009-10,Panini,Studio,,,raw,,Y,Warriors,,,IMG_4827,1,,2009-10 Studio RC #129 signed. BAS-certified copies ~$300-600; generic coin COA less. NOT a pack-pulled certified auto (those $5k+). Verify the authenticator on the coin.,RC auto; coin authenticator
6,383.00,comp,Sports Card Investor / Card Ladder,Fernando Tatis Jr.,2019,Topps,Chrome Update,Rookie Debut Auto,,PSA 10 GEM MT,46084057,Y,Padres,FT,,IMG_4818,2,,PSA 10 Rookie Debut Auto last sold ~$383,RC auto
7,320.00,comp,Sports Card Investor,Puka Nacua,,Donruss,Downtown,Downtown SSP,,raw,,,Rams,,380,IMG_4824,1,,Downtown raw last sold $320 (down 13% in 30d); sticker $380 a touch high,case-hit insert
8,240.00,sticker,,Esiason/Moon/Simms/Montana,,Panini,Quad Autographs,,10/10,raw,,Y,Multi,,240,IMG_4826,3,,,4x HOF QB auto /10
9,200.00,sticker,,Ja Morant,,Panini,NBA Hoops,,,PSA/DNA Auth Auto,85028881,Y,Grizzlies,,200,IMG_4827,6,,,RC auto
10,175.00,sticker,,Paul Skenes,,Panini,Immaculate Collection,,65/99,raw,,,Pirates,,175,IMG_4828,4,,,jersey relic
