Sport,Year,Brand,Set,CardNumber,Player,Team,Parallel_Attributes,Serial,GradingCompany,Grade,CertNumber,IsAuto,Quantity,ListPrice,PricingBasis,Confidence,CompDate,CompSource,ConditionNotes,SourcePhoto,ImageURL_pro,MarketplaceStatus
Football,1976,Topps,,148,Walter Payton,Bears,,,SGC,8 NM/MT,8203701-020,,1,1500.00,comp,high,,eBay / Steel City / SCI,ROOKIE - key card,IMG_4824,,UNLISTED
Football,,Panini,Rookies & Stars Airborne Signatures,13,Brock Purdy,49ers,,/99,,,,Y,1,375.00,comp,high,,Card Ladder (user) — last sale 7/2026,RC on-card auto /99 (confirmed auto),IMG_4826,,UNLISTED
Football,2024,Topps,Resurgence,RPAJD,Jayden Daniels,Commanders,Rookie Patch Auto,,PSA,9 MINT,128161736,Y,1,325.00,comp,med,2025,SportsCardInvestor,RC patch auto,IMG_4822,,UNLISTED
Football,,Donruss,Downtown,,Puka Nacua,Rams,Downtown SSP,,,,,,1,320.00,comp,high,,Sports Card Investor,case-hit insert,IMG_4824,,UNLISTED
Football,,Panini,Quad Autographs,,Esiason/Moon/Simms/Montana,Multi,,10/10,,,,Y,1,240.00,sticker,your price,,,4x HOF QB auto /10,IMG_4826,,UNLISTED
Football,2020,Panini,XR Triple Swatch Autographs,,Jalen Hurts,Eagles,,,,,,Y,1,200.00,comp,low,2024,PSA APR/COMC,RC patch auto; confirm player ID,IMG_4824,,UNLISTED
Football,2017,Sage,Hit Premier Draft,5,Patrick Mahomes II,Chiefs,,,PSA,10 GEM MT,66845496,,1,150.00,est,est,,,Rookie (college),IMG_4822,,UNLISTED
Football,1969,Topps,,51,Gale Sayers,Bears,,,PSA,8 NM-MT (MC),94307073,,1,140.00,comp,high,,PSA APR / eBay,,IMG_4826,,UNLISTED
Football,,Donruss,Dominators,22,Christian McCaffrey,Panthers,Printing Plate Cyan,1/1,,,,,1,125.00,sticker,your price,,,printing plate; confirm player,IMG_4826,,UNLISTED
Football,,Panini,Prizm,40,Mike Alstott,Buccaneers,,,,,,Y,1,80.00,sticker,your price,,,auto,IMG_4825,,UNLISTED
Football,,Donruss,Rated Rookie,,J.J. McCarthy,Vikings,,,,,,Y,1,80.00,comp,med,2024,SportsCardInvestor,RC auto,IMG_4833,,UNLISTED
Football,2025,Donruss,Elite Turn of the Century,11,Abdul Carter,Giants,Red,11/75,,,,Y,1,80.00,comp,low,2025,eBay,RC auto,IMG_4906,,UNLISTED
Football,,Donruss,Phenom,12,Travis Hunter,Jaguars,,18/99,,,,Y,1,75.00,comp,med,2025,SportsCardInvestor/eBay,RC patch auto,IMG_4822,,UNLISTED
Football,,Panini,Gold Standard,0,Keon Coleman,Bills,,039/199,,,,Y,1,75.00,comp,low,2024,Veriswap/eBay,RC auto,IMG_4833,,UNLISTED
Football,,Topps,,89,Brock Bowers,Raiders,,,,,,Y,1,70.00,comp,low,2025,SportsCardsPro,RC patch auto,IMG_4825,,UNLISTED
Football,2025,Bowman,U Now Black Box,67,Fernando Mendoza,Indiana,,,PSA,10 GEM MT,10004475,,1,60.00,comp,low,2025,SportsCardsPro,college,IMG_4822,,UNLISTED
Football,2025,Panini,Rookies & Stars Draft Class,1,Ashton Jeanty,Raiders,Green,05/25,,,,,1,60.00,comp,low,2025,eBay,RC,IMG_4833,,UNLISTED
Football,2025,Topps,Chrome,10,Quinshon Judkins,Browns,Blue,117/150,,,,Y,1,55.00,comp,low,2025,eBay,RC auto,IMG_4840,,UNLISTED
