card_id,player,year,brand,set,parallel,serial,grade,current_value,current_basis,CARDLADDER_LAST_SOLD,SALE_DATE
IMG_4824:6,Walter Payton,1976,Topps,,,,SGC 8 NM/MT,1500,comp,,
IMG_4826:6,Brock Purdy,,Panini,Rookies & Stars Airborne Signatures,,/99,,375,comp,,
IMG_4824:1,Puka Nacua,,Donruss,Downtown,Downtown SSP,,,320,comp,,
IMG_4826:3,Esiason/Moon/Simms/Montana,,Panini,Quad Autographs,,10/10,,240,sticker,,
IMG_4822:1,Patrick Mahomes II,2017,Sage,Hit Premier Draft,,,PSA 10 GEM MT,150,est,,
IMG_4826:5,Gale Sayers,1969,Topps,,,,PSA 8 NM-MT (MC),140,comp,,
IMG_4826:2,Christian McCaffrey,,Donruss,Dominators,Printing Plate Cyan,1/1,,125,sticker,,
IMG_4825:7,Brock Bowers,,Topps,,,,,95,sticker,,
IMG_4825:5,Mike Alstott,,Panini,Prizm,,,,80,sticker,,
IMG_4822:6,Travis Hunter,,Donruss,Phenom,,18/99,,75,sticker,,
IMG_4822:4,Fernando Mendoza,2025,Bowman,U Now Black Box,,,PSA 10 GEM MT,60,sticker,,
IMG_4824:5,Colston Loveland,2025,Topps,Chrome (Round 1 Pick 10),,,,50,sticker,,
IMG_4865:4,LaNorris Sellers,2025,Wild Card,Psyched Alumination,,1/3,,50,est,,
IMG_4874:2,Patrick Mahomes,,Wild Card,Card Club,,4/4,,50,est,,
IMG_4906:5,Drew Allar,2025,Wild Card,Alumination,,2/5,,50,est,,
IMG_4842:5,Tetairoa McMillan,2025,Topps,Chrome,,,,45,sticker,,
IMG_4840:2,Davante Adams,,Panini,Mosaic,Gold,,,40,sticker,,
IMG_4842:2,Ladd McConkey,,Topps,Fire (dual jersey auto),,,,40,sticker,,
IMG_4833:3,Ashton Jeanty,2025,Panini,Rookies & Stars Draft Class,Green,05/25,,35,est,,
IMG_4875:2,Dak Prescott,,Wild Card,Alumination,Orange,6/20,,35,est,,
IMG_4935:4,Dante Hall,,Topps,Finest,Red,06/25,,35,est,,
IMG_4855:4,Amon-Ra St. Brown,2022,Panini,Select,Tri-Color Prizm,37/249,SGC 10,34,sticker,,
IMG_4855:3,Earl Campbell,2024,Panini,Select,White Shock,,SGC 9 MINT,30,sticker,,
IMG_4822:3,Jayden Daniels,2024,Topps,Resurgence,Rookie Patch Auto,,PSA 9 MINT,25,est,,
IMG_4823:1,James Cook,,Custom,Kaboom!,,,BGS Auth Auto,25,est,,
IMG_4823:2,James Cook,,Custom,Kaboom!,,,BGS Auth Auto,25,est,,
IMG_4823:3,Dan Hampton,,Pro Set,NFL,,,PSA/DNA Auth Auto,25,est,,
IMG_4823:4,Isaac TeSlaa,2025,Panini,Phoenix,Silver,,CGC 10 GEM MINT,25,est,,
IMG_4825:2,Mike Singletary,,Custom,Booom!,,,BGS Auth Auto,25,est,,
IMG_4837:3,Keon Coleman,,Donruss,Optic Rated Rookie,,,,25,sticker,,
IMG_4839:6,Dexter McCluster,2010,Topps,Triple Threads,,53/70,,25,sticker,,
IMG_4842:1,Travis Kelce,2013,Topps,,,,,25,sticker,,
IMG_4849:2,Keon Coleman,,Panini,Origins Rookie Jumbo Jersey Autographs,,,,25,sticker,,
IMG_4849:3,Dallas Clark,,Panini,Signature,,,,25,sticker,,
IMG_4854:1,Christian McCaffrey,2022,Donruss,Press Proof Premium,Press Proof Premium,,CGC 10 GEM MINT,25,est,,
IMG_4854:2,Cam Skattebo,2025,Panini,Mosaic,Red Camo,,PSA 9 MINT,25,est,,
IMG_4855:1,Johnny Manziel,,Custom,Boom,,,BGS Witnessed Auth Auto,25,est,,
IMG_4855:2,Johnny Manziel,,Custom,Boom,,,BGS Witnessed Auth Auto,25,est,,
IMG_4855:5,Gilbert Brown,,Custom,Boom!,,,BGS Witnessed Auth Auto,25,est,,
IMG_4900:1,Jayden Reed,2025,Donruss,Season Stat Line,Pink,413/500,CGC 10 GEM MINT,25,est,,
IMG_4841:5,Ricky Williams,,Topps,,,,,24,sticker,,
IMG_4838:5,Luther Burden III,2025,Topps,Chrome Fortune,Spade,36/50,,23,sticker,,
IMG_4824:3,Jalen Hurts,2020,Panini,XR Triple Swatch Autographs,,,,20,est,,
IMG_4825:4,Dan Marino,,Topps,,,,,20,est,,
